proxy	time	saved	missed	error
182.55.250.98:80	2018-08-24 13:21:45.272904	1	0	0
183.90.70.134:80	2018-08-24 13:25:00.409514	1	0	1
93.91.196.30:8080	2018-08-24 13:25:15.273099	1	0	0
197.255.216.26:8080	2018-08-24 13:25:23.189441	1	0	0
92.242.255.85:21213	2018-08-24 13:25:38.577679	1	0	0
200.124.59.116:53281	2018-08-24 13:25:49.252048	1	0	0
78.108.108.192:21231	2018-08-24 13:26:56.176799	1	0	1
95.67.174.94:8080	2018-08-24 13:27:05.708009	1	0	0
105.22.72.110:8080	2018-08-24 13:27:23.111574	1	0	0
172.92.73.61:53281	2018-08-24 13:28:30.085149	1	0	1
37.247.28.21:21231	2018-08-24 13:28:39.712446	1	0	0
78.156.225.170:41258	2018-08-24 13:28:46.692628	1	0	0
83.144.67.2:21231	2018-08-24 13:28:57.174047	1	0	0
176.99.114.47:6666	2018-08-24 13:29:15.860379	1	0	0
140.227.54.68:3129	2018-08-24 13:29:23.476846	1	0	0
167.99.166.163:8080	2018-08-24 13:29:27.885382	1	0	0
185.133.225.210:21231	2018-08-24 13:29:30.196605	1	0	1
140.227.53.72:3129	2018-08-24 13:29:38.035492	1	0	0
201.16.148.169:8080	2018-08-24 13:29:43.356305	1	0	0
05.197.183.222:8080	2018-08-24 13:29:51.074596	1	0	0
185.133.226.154:21231	2018-08-24 13:30:31.127350	1	0	0
103.80.240.126:8080	2018-08-24 13:31:21.903266	1	0	0
93.179.66.57:8080	2018-08-24 13:31:35.306583	1	0	0
91.241.40.210:41258	2018-08-24 13:32:41.779981	1	0	1
140.227.56.100:3128	2018-08-24 13:32:42.689579	0	1	0
78.188.91.98:21231	2018-08-24 13:32:52.627996	1	0	0
94.101.140.10:21231	2018-08-24 13:33:00.688857	1	0	0
103.88.142.54:21231	2018-08-24 13:33:09.899451	1	0	0
182.55.250.98:80	2018-08-24 13:36:25.010388	1	0	1
183.90.70.134:80	2018-08-24 13:39:41.128234	1	0	1
93.91.196.30:8080	2018-08-24 13:40:02.868376	1	0	0
197.255.216.26:8080	2018-08-24 13:40:11.216717	1	0	0
92.242.255.85:21213	2018-08-24 13:40:18.110522	1	0	0
200.124.59.116:53281	2018-08-24 13:40:35.201426	1	0	0
78.108.108.192:21231	2018-08-24 13:40:39.515883	1	0	0
95.67.174.94:8080	2018-08-24 13:40:48.862373	1	0	0
105.22.72.110:8080	2018-08-24 13:40:57.975626	1	0	0
172.92.73.61:53281	2018-08-24 13:42:04.893592	1	0	1
37.247.28.21:21231	2018-08-24 13:42:09.240090	1	0	0
78.156.225.170:41258	2018-08-24 13:42:19.825089	1	0	0
83.144.67.2:21231	2018-08-24 13:42:36.501410	1	0	0
176.99.114.47:6666	2018-08-24 13:42:43.790721	1	0	0
140.227.54.68:3129	2018-08-24 13:42:48.164304	1	0	0
167.99.166.163:8080	2018-08-24 13:42:51.115284	1	0	0
185.133.225.210:21231	2018-08-24 13:43:57.618363	1	0	1
140.227.53.72:3129	2018-08-24 13:44:12.210479	1	0	0
201.16.148.169:8080	2018-08-24 13:44:17.024524	1	0	0
05.197.183.222:8080	2018-08-24 13:44:24.219424	1	0	0
185.133.226.154:21231	2018-08-24 13:45:00.398249	1	0	0
103.80.240.126:8080	2018-08-24 13:45:22.316477	1	0	0
93.179.66.57:8080	2018-08-24 13:45:36.122275	1	0	0
